Team,Year,Champion_Prob
Argentina,2026,0.9295135926012051
France,2026,0.8710266700308288
Brazil,2026,0.8072471301139309
England,2026,0.6274332883232429
Spain,2026,0.5478410882769622
Australia,2026,0.34950819697369684
Switzerland,2026,0.28370807706779233
Uruguay,2026,0.2558061812433213
Japan,2026,0.21379775246992466
Russia,2026,0.1984868722292834
Costa Rica,2026,0.1862708834500687
Turkey,2026,0.18466796542365937
South Korea,2026,0.15759476771287487
Mexico,2026,0.15079209422137044
Ghana,2026,0.1066243051770853
Italy,2026,0.09707795455774175
Portugal,2026,0.08924194129462193
Qatar,2026,0.08243862306749114
Germany,2026,0.0804472772867222
Ukraine,2026,0.08030665925494376
Serbia,2026,0.08016809400203491
Belgium,2026,0.07524658196401704
Canada,2026,0.06241105180754802
Morocco,2026,0.05698971607820703
Croatia,2026,0.05240180856435027
Senegal,2026,0.040378687628848664
Paraguay,2026,0.037938062470821314
Cameroon,2026,0.03710845796094144
Colombia,2026,0.03517879067844156
USA,2026,0.028392040941065406
Iran,2026,0.02510439752987607
Peru,2026,0.013795274145801593
Denmark,2026,0.011095828818711753
Poland,2026,0.010529165378911458
Chile,2026,0.005762937265881013
Netherlands,2026,0.0042467038956539764
Nigeria,2026,0.004115852126796763
Ecuador,2026,0.004104607276800669
Saudi Arabia,2026,0.002242121016118206
Sweden,2026,0.001187007531911185
